as_of,pollster_id,n,weight,score,bias,house
2018,202,2,1.19,-0.005,-0.392,-0.002
2018,203,19,6.82,1.491,2.141,2.047
2018,205,23,7.46,0.166,-1.829,-2.269
2018,207,24,8.47,0.865,3.698,2.536
2018,208,4,2.02,0.263,-1.227,0.034
2018,212,3,0.89,-0.175,-0.41,0.176
2018,213,20,6.3,-0.015,-1.052,-0.526
2018,214,1,0.3,0.207,-0.617,-0.285
2018,215,58,33.57,-0.888,-2.539,0.329
2018,216,3,0.62,-0.118,-0.097,-0.203
2018,217,5,1.72,0.012,0.918,0.724
2018,218,9,3.51,-0.193,-0.805,0.05
2018,219,21,5.75,-0.401,-0.45,0.045
2018,221,14,4.93,0.039,-0.655,-0.21
2018,225,7,2.47,-0.148,0.713,0.636
2018,227,2,0.5,0.058,0.805,0.294
2018,228,19,6.26,-0.245,1.371,0.672
2018,231,9,4.29,2.076,-5.224,-1.755
2018,232,6,1.81,0.253,-0.99,-0.893
2018,233,6,2.93,-0.455,0.646,0.452
2018,234,1,0.21,-0.067,-0.013,0.105
2018,237,1,0.21,0.141,-0.289,-0.264
2018,238,1,0.5,-0.052,-0.262,0.046
2018,239,8,2.64,0.431,1.749,1.222
2018,242,4,1.68,1.251,-3.076,-1.646
2018,243,36,11.77,0.286,-1.614,-0.128
2018,244,6,2.14,0.341,0.907,-0.252
2018,245,9,3.89,0.568,1.513,1.089
2018,246,2,0.42,-0.001,-0.115,-0.237
2018,249,12,4.21,-0.296,-1.872,0.187
2018,250,17,5.02,-0.151,-1.971,-0.203
2018,253,9,2.8,0.103,-0.612,-0.391
2018,257,3,2.52,-0.486,0.434,0.949
2018,258,12,3.44,0.107,-0.76,-0.519
2018,259,1,0.59,-0.102,0.335,0.0
2018,260,46,16.91,-0.232,0.276,2.444
2018,262,7,3.49,-0.144,1.275,0.158
2018,263,296,99.84,-0.383,-1.409,-0.844
2018,265,4,1.67,-0.025,0.525,0.06
2018,267,96,35.64,-0.25,-1.686,-0.638
2018,269,1,0.84,-0.036,-0.609,0.114
2018,270,4,1.56,0.109,-0.57,-0.585
2018,271,2,0.59,-0.099,0.087,-0.085
2018,272,2,1.68,-0.341,-0.039,0.481
2018,274,7,4.49,-0.854,-0.326,0.779
2018,276,1,0.21,0.137,-0.307,-0.205
2018,277,112,52.47,0.453,-2.441,-0.47
2018,279,33,17.79,0.188,-1.627,1.124
2018,280,16,6.04,-0.488,1.171,-0.093
2018,285,3,0.89,-0.064,-0.345,0.201
2018,289,1,0.3,0.661,-1.197,0.0
2018,290,2,0.42,-0.045,0.116,0.078
2018,291,1,0.3,-0.069,0.237,0.4
2018,292,10,4.78,1.046,-0.365,-0.468
2018,294,1,0.3,0.037,-0.15,-0.166
2018,295,4,1.54,0.696,-0.14,-0.013
2018,298,2,1.19,0.237,-0.653,-0.584
2018,299,4,3.11,0.953,-2.288,-1.636
2018,301,1,0.3,-0.018,0.089,0.117
2018,302,3,1.05,-0.06,0.035,0.195
2018,304,18,8.78,-1.228,0.06,1.377
2018,305,40,18.33,-0.808,2.902,0.218
2018,306,1,0.84,-0.274,0.076,0.0
2018,307,2,0.84,0.222,0.582,0.542
2018,308,11,4.34,0.043,-2.077,0.374
2018,309,2,0.42,0.081,-0.469,-0.078
2018,310,2,1.68,-0.058,-1.037,-0.355
2018,312,5,1.97,0.291,-0.798,-0.164
2018,313,6,2.44,0.029,-0.071,-0.13
2018,314,11,5.15,0.027,1.372,0.422
2018,316,1,0.84,-0.252,-0.311,0.456
2018,317,8,5.45,-0.349,-0.451,-0.06
2018,318,2,1.19,-0.372,-0.093,0.484
2018,321,4,2.02,-0.215,0.053,-0.206
2018,322,1,1.0,0.239,0.959,0.606
2018,323,39,18.3,0.035,-0.883,-1.004
2018,324,200,118.95,1.291,-5.3,-2.279
2018,325,256,75.26,-0.445,-0.374,-0.267
2018,326,29,10.12,0.253,-0.018,0.522
2018,332,3,2.52,0.121,-1.278,-0.352
2018,333,13,4.63,-0.043,0.889,1.388
2018,334,9,2.86,-0.133,-0.398,-0.148
2018,336,1,0.21,-0.022,0.033,0.013
2018,337,7,4.18,0.025,1.514,0.6
2018,338,15,12.16,-0.45,0.565,2.032
2018,339,1,0.71,-0.096,0.343,0.276
2018,340,2,0.59,-0.114,0.237,-0.177
2018,343,3,1.45,0.072,0.641,1.099
2018,345,5,3.16,-0.602,-1.397,1.093
2018,346,12,2.58,-0.178,0.386,0.311
2018,347,1,0.21,-0.018,-0.067,-0.152
2018,349,1,0.59,-0.087,-0.074,0.032
2018,353,1,0.42,0.096,0.328,0.161
2018,355,9,5.63,-0.508,0.216,0.313
2018,357,73,25.61,0.96,-3.959,-1.956
2018,358,4,2.68,0.281,-0.658,0.022
2018,360,2,1.68,-0.085,-0.596,-0.1
2018,361,3,0.71,-0.12,-0.022,0.148
2018,364,8,2.14,-0.03,-0.459,-1.016
2018,365,1,0.21,0.012,0.099,0.034
2018,367,1,0.21,0.038,0.216,0.0
2018,370,3,0.66,-0.055,-0.16,-0.122
2018,371,3,1.18,-0.093,-0.437,0.048
2018,372,11,6.63,-0.406,0.21,1.446
2018,375,9,3.92,-0.567,-0.211,-0.544
2018,376,36,14.7,-0.137,0.856,0.1
2018,379,3,2.39,0.252,-1.852,0.144
2018,380,8,3.78,-0.341,0.546,-0.261
2018,382,7,2.8,0.18,-1.301,-0.669
2018,383,8,3.45,0.351,0.421,1.479
2018,385,5,1.43,0.147,-0.899,-0.603
2018,386,1,0.84,-0.194,0.03,0.173
2018,388,1,0.3,-0.048,-0.03,-0.056
2018,389,3,2.52,-0.897,-0.812,1.356
2018,391,364,159.79,0.491,-1.932,-0.355
2018,392,1,0.3,-0.026,-0.222,0.0
2018,393,3,1.45,0.217,0.75,0.428
2018,394,1,0.21,0.043,-0.165,-0.067
2018,395,81,15.13,0.274,0.029,-0.118
2018,396,32,9.65,0.556,2.641,1.092
2018,412,1,0.42,-0.094,0.043,-0.127
2018,422,1,0.59,-0.281,0.051,0.0
2018,425,2,0.84,-0.304,0.022,0.567
2018,448,11,7.92,0.09,-1.255,-0.003
2018,478,1,0.42,0.157,0.442,0.297
2018,524,1,0.59,-0.272,-0.142,0.0
2018,525,1,0.42,0.359,0.861,0.0
2018,527,1,0.59,0.059,0.3,0.366
2018,572,9,7.56,-0.675,0.212,0.364
2018,576,1,0.42,-0.036,0.321,-0.082
2018,580,2,1.68,0.466,-1.165,-1.19
2018,644,1,1.0,-0.272,0.292,-0.116
2018,654,2,0.42,0.463,1.043,0.0
2018,656,1,0.21,0.26,-0.537,0.0
2018,664,1,0.21,0.129,-0.289,-0.317
2018,665,1,1.0,0.232,0.97,0.618
2018,727,4,2.37,1.701,-3.758,0.0
2018,751,8,5.74,-0.024,-2.22,-0.117
2018,754,3,2.84,-0.645,0.183,-0.65
2018,776,287,60.14,0.734,2.433,1.933
2018,810,9,2.56,-0.159,-0.179,0.075
2018,811,3,0.89,-0.19,-0.095,-0.91
2018,812,26,3.6,-0.183,0.35,0.176
2020,1,5,2.62,0.129,-0.934,-0.871
2020,3,25,6.02,-0.439,-0.575,-0.487
2020,4,2,0.84,-0.111,-0.24,0.022
2020,6,1,0.21,-0.064,-0.128,0.0
2020,7,6,3.02,0.128,-1.156,-0.239
2020,9,38,8.56,0.016,0.736,1.047
2020,10,3,2.1,-0.294,0.461,0.386
2020,13,30,6.81,-0.394,1.074,-0.195
2020,14,14,4.23,-0.064,-1.136,-1.02
2020,15,1,0.15,0.034,-0.118,-0.047
2020,20,3,1.78,-0.307,-0.667,0.49
2020,24,1,0.17,0.198,0.688,0.271
2020,25,4,1.01,0.283,0.964,0.578
2020,27,1,0.15,-0.015,-0.049,-0.042
2020,29,2,1.19,-0.04,-0.203,-0.41
2020,30,7,1.51,0.076,-0.7,-0.42
2020,31,10,1.47,0.14,-0.657,-0.814
2020,32,1,0.21,-0.051,-0.017,0.031
2020,33,6,2.44,-0.134,-1.261,-0.51
2020,35,2,0.59,0.081,-0.095,0.0
2020,36,10,2.45,-0.125,-0.394,-0.218
2020,37,64,17.12,0.001,-0.525,0.101
2020,40,6,1.54,-0.222,0.142,0.28
2020,42,4,1.18,0.023,0.506,0.05
2020,44,1,0.15,-0.027,-0.028,-0.027
2020,47,1,0.59,-0.044,-0.188,0.002
2020,48,57,45.55,0.567,-1.371,0.005
2020,49,4,2.2,0.199,0.689,0.706
2020,50,9,3.84,-0.463,-0.654,-0.455
2020,51,2,1.19,0.036,0.166,0.25
2020,52,11,5.16,-0.375,-1.399,-0.086
2020,53,1,0.17,0.083,-0.2,-0.136
2020,55,14,4.35,0.375,1.865,1.496
2020,57,8,2.76,-0.428,-0.618,0.516
2020,61,1,0.59,0.478,-1.292,-0.639
2020,62,1,0.21,-0.064,-0.062,-0.247
2020,63,1,0.21,-0.024,-0.082,0.0
2020,64,17,3.57,0.547,0.26,0.222
2020,66,2,0.29,0.007,0.275,0.47
2020,67,13,10.16,-1.069,-1.264,1.108
2020,68,1,0.59,-0.136,-0.307,0.0
2020,69,7,4.29,0.164,-1.491,-0.402
2020,70,27,6.54,-0.794,-0.989,-0.087
2020,71,2,0.21,0.245,0.539,0.0
2020,73,8,3.05,-0.115,-0.549,-0.248
2020,75,3,0.25,0.014,0.046,0.05
2020,76,7,2.07,-0.232,0.257,0.068
2020,78,1,0.42,-0.113,-0.188,0.0
2020,79,4,0.65,0.056,-0.591,-0.138
2020,81,8,5.98,1.206,2.374,2.049
2020,84,24,6.7,-0.371,-0.216,0.108
2020,85,2,0.29,0.138,-0.429,-0.191
2020,86,8,3.08,-0.249,-0.605,-0.007
2020,87,12,4.12,-0.388,-0.487,-1.072
2020,88,122,79.46,-0.592,-0.286,0.529
2020,90,3,1.48,0.041,-0.162,0.967
2020,92,9,2.08,-0.207,-0.716,-0.608
2020,93,1,0.3,-0.049,0.091,-0.074
2020,94,6,1.57,-0.176,0.467,-0.363
2020,96,9,3.49,-0.134,1.174,-0.041
2020,97,4,2.87,-0.044,-0.722,-0.04
2020,98,1,0.15,-0.058,-0.032,0.0
2020,99,1,0.21,0.002,0.098,0.148
2020,101,2,1.19,1.073,2.417,3.386
2020,102,2,0.42,-0.06,-0.065,-0.134
2020,103,26,14.1,0.127,-2.022,-0.717
2020,104,5,0.55,0.023,0.186,0.217
2020,106,11,4.58,0.641,-1.564,-1.411
2020,108,2,0.5,0.052,-0.51,-0.284
2020,109,7,4.0,-0.327,-0.213,-0.036
2020,112,16,2.33,0.211,0.411,0.184
2020,113,11,3.29,-0.234,-0.371,-1.109
2020,114,15,1.86,0.062,0.528,0.294
2020,115,21,4.46,0.33,-0.671,-0.51
2020,116,1,0.42,0.491,-0.937,0.0
2020,117,8,3.61,0.25,-0.902,-0.802
2020,118,14,3.86,0.236,-1.156,-1.586
2020,119,4,1.18,-0.071,0.344,-0.011
2020,120,1,0.3,0.128,0.404,0.258
2020,121,3,0.83,0.103,0.172,0.59
2020,124,107,49.82,0.044,-1.279,-0.11
2020,125,1,0.21,0.043,0.191,0.0
2020,126,30,7.34,0.159,-1.408,-1.002
2020,127,7,2.61,0.053,0.946,-0.072
2020,128,1,0.21,0.188,-0.501,0.0
2020,129,23,4.9,-0.405,-0.244,-0.946
2020,130,2,0.71,0.142,-0.334,-0.058
2020,131,4,1.9,0.615,1.491,1.452
2020,132,7,3.14,-0.717,-0.185,0.516
2020,133,37,15.57,0.132,0.102,0.003
2020,134,8,2.01,-0.176,-0.449,-0.432
2020,136,7,0.86,0.477,-1.221,-0.694
2020,137,4,1.46,0.145,-0.191,0.391
2020,138,16,6.62,-0.025,-1.713,0.783
2020,139,2,0.59,-0.101,-0.004,-0.117
2020,140,1,0.15,0.018,0.096,0.118
2020,141,2,1.14,0.037,0.542,0.053
2020,142,6,1.33,0.195,-0.077,-0.044
2020,143,4,0.65,0.166,-0.58,-0.41
2020,144,15,2.93,-0.297,0.349,0.461
2020,145,2,1.0,0.001,0.712,0.039
2020,152,1,0.21,0.009,0.143,0.042
2020,154,124,50.02,-0.001,-1.507,0.437
2020,155,8,3.31,0.536,-2.299,-1.14
2020,156,9,4.64,-0.209,1.317,0.278
2020,157,2,1.26,2.514,-4.869,0.0
2020,161,5,2.02,-0.108,-0.366,-0.513
2020,162,5,1.34,-0.092,-0.415,-0.894
2020,163,6,1.42,0.126,0.881,0.32
2020,164,1,0.15,-0.027,0.007,0.006
2020,165,9,2.79,-0.128,-0.561,-0.751
2020,166,24,6.6,-0.199,-1.407,0.141
2020,171,14,7.25,0.317,-2.146,0.245
2020,172,2,0.29,0.009,-0.117,-0.094
2020,175,16,7.15,0.015,-1.381,-0.947
2020,176,2,0.36,0.08,-0.449,-0.169
2020,177,2,0.59,-0.165,0.195,-0.349
2020,179,9,3.98,0.15,0.533,0.077
2020,180,14,5.43,-0.163,-0.4,0.886
2020,182,1,0.5,0.022,0.365,0.34
2020,183,90,34.52,-0.247,-1.417,-0.165
2020,184,2,0.29,-0.04,-0.132,-0.067
2020,185,5,1.59,-0.056,-0.965,-0.777
2020,187,4,0.86,-0.176,0.148,0.119
2020,193,4,2.48,0.446,-1.645,-1.295
2020,195,8,4.17,-0.501,-0.418,0.277
2020,196,3,0.44,0.021,0.16,0.064
2020,197,112,31.27,-0.396,-0.394,1.335
2020,198,12,5.62,-0.355,1.297,0.923
2020,202,2,0.84,-0.004,-0.287,-0.001
2020,203,20,5.65,1.313,2.041,1.947
2020,205,23,5.27,0.132,-1.505,-1.854
2020,207,24,5.98,0.695,3.075,1.944
2020,208,4,1.43,0.194,-0.92,0.025
2020,212,3,0.62,-0.126,-0.298,0.126
2020,213,26,7.35,-0.223,-0.519,0.104
2020,214,1,0.21,0.147,-0.44,-0.203
2020,215,64,28.72,-0.75,-1.593,0.219
2020,216,3,0.44,-0.084,-0.07,-0.144
2020,217,5,1.22,0.009,0.684,0.533
2020,218,13,4.16,-0.031,-0.053,0.453
2020,219,24,6.58,-0.629,-0.402,-0.253
2020,221,16,4.67,-0.099,-0.424,-0.166
2020,225,7,1.74,-0.11,0.54,0.471
2020,227,2,0.35,0.042,0.578,0.211
2020,228,19,4.42,-0.192,1.111,0.524
2020,231,9,3.03,1.588,-4.109,-1.324
2020,232,6,1.28,0.186,-0.738,-0.649
2020,233,6,2.07,-0.341,0.495,0.332
2020,234,1,0.15,-0.048,-0.009,0.074
2020,235,4,2.87,0.297,1.397,1.512
2020,237,1,0.15,0.1,-0.206,-0.188
2020,238,1,0.35,-0.037,-0.188,0.033
2020,239,11,4.38,0.107,1.649,2.065
2020,242,4,1.18,0.916,-2.287,-1.224
2020,243,38,9.49,0.1,-1.388,-0.26
2020,244,6,1.51,0.252,0.682,-0.181
2020,245,11,4.43,0.057,1.434,0.85
2020,246,2,0.29,-0.001,-0.082,-0.169
2020,249,12,2.97,-0.226,-1.47,0.144
2020,250,17,3.54,-0.117,-1.569,-0.15
2020,253,9,1.98,0.077,-0.468,-0.299
