chamber,district,dem_votes,rep_votes,oth_votes,total_votes
House,ST8,1940,1941,0,3881
House,ST9,1743,1774,0,3517
House,ST10,17241,4214,16,21471
House,ST11,10645,2194,13,12852
House,ST12,12151,9214,0,21365
House,ST13,1321,964,3,2288
House,ST14,1894,0,16,1910
House,ST15,3557,1123,23,4703
House,ST17,1547,0,24,1571
House,ST18,4289,4925,0,9214
House,ST19,13460,14131,13,27604
House,ST20,8243,3283,3,11529
House,ST21,21891,10921,9,32821
House,SU1,1417,647,1,2065
House,SU2,1380,903,1,2284
House,SU3,5014,7415,0,12429
House,SU4,894,1483,0,2377
House,SU5,1397,1366,0,2763
House,SU6,6389,5976,0,12365
House,SU7,3438,3603,4,7045
House,SU8,8645,8900,6,17551
