state,county_name,county_id,dem_2024,gop_2024,oth_2024,total_2024
AZ,Apache,04001,19901,11283,679,31863
AZ,Cochise,04003,23347,33184,1585,58116
AZ,Coconino,04005,42924,24825,1736,69485
AZ,Gila,04007,9330,17433,565,27328
AZ,Graham,04009,4235,10385,373,14993
AZ,Greenlee,04011,1102,2078,104,3284
AZ,La Paz,04012,2292,4998,219,7509
AZ,Maricopa,04013,1045766,940465,44417,2030648
AZ,Mohave,04015,26578,79494,2415,108487
AZ,Navajo,04017,22173,27218,1085,50476
AZ,Pima,04019,298751,193021,13970,505742
AZ,Pinal,04021,86674,115595,4672,206941
AZ,Santa Cruz,04023,11986,6370,599,18955
AZ,Yavapai,04025,52077,93200,2592,147869
AZ,Yuma,04027,29199,36212,1707,67118
CA,Alameda,06001,489039,147721,0,636760
CA,Alpine,06003,463,262,0,725
CA,Amador,06005,7454,14534,0,21988
CA,Butte,06007,42417,49192,0,91609
CA,Calaveras,06009,8956,17109,0,26065
CA,Colusa,06011,2436,4471,0,6907
CA,Contra Costa,06013,343169,165245,0,508414
CA,Del Norte,06015,4217,6084,0,10301
CA,El Dorado,06017,45734,64663,0,110397
CA,Fresno,06019,148396,166675,0,315071
CA,Glenn,06021,3122,7114,0,10236
CA,Humboldt,06023,40240,22793,0,63033
CA,Imperial,06025,26441,26579,0,53020
CA,Inyo,06027,4134,4673,0,8807
CA,Kern,06029,107501,168458,0,275959
CA,Kings,06031,15225,25354,0,40579
CA,Lake,06033,12797,13401,0,26198
CA,Lassen,06035,2439,8691,0,11130
CA,Los Angeles,06037,2335222,1220750,0,3555972
CA,Madera,06039,20538,32451,0,52989
CA,Marin,06041,112842,28490,0,141332
CA,Mariposa,06043,3582,5747,0,9329
CA,Mendocino,06045,24106,14182,0,38288
CA,Merced,06047,40394,43320,0,83714
CA,Modoc,06049,978,2951,0,3929
CA,Mono,06051,3384,2503,0,5887
CA,Monterey,06053,92302,51913,0,144215
CA,Napa,06055,42245,21986,0,64231
CA,Nevada,06057,33363,27987,0,61350
CA,Orange,06059,674882,688967,0,1363849
CA,Placer,06061,98198,129981,0,228179
CA,Plumas,06063,3921,6034,0,9955
CA,Riverside,06065,443181,474241,0,917422
CA,Sacramento,06067,375265,263954,0,639219
CA,San Benito,06069,14991,12031,0,27022
CA,San Bernardino,06071,355667,384091,0,739758
CA,San Diego,06073,817805,625129,0,1442934
CA,San Francisco,06075,310932,66421,0,377353
CA,San Joaquin,06077,127205,129064,0,256269
CA,San Luis Obispo,06079,77525,68569,0,146094
CA,San Mateo,06081,237186,84474,0,321660
CA,Santa Barbara,06083,110609,70126,0,180735
CA,Santa Clara,06085,498785,224597,0,723382
CA,Santa Cruz,06087,98631,30737,0,129368
CA,Shasta,06089,25996,61402,0,87398
CA,Sierra,06091,617,1110,0,1727
CA,Siskiyou,06093,8087,12958,0,21045
CA,Solano,06095,113204,72404,0,185608
CA,Sonoma,06097,176477,68712,0,245189
CA,Stanislaus,06099,86040,106444,0,192484
CA,Sutter,06101,12984,25129,0,38113
CA,Tehama,06103,7098,18632,0,25730
CA,Trinity,06105,2413,3148,0,5561
CA,Tulare,06107,51972,83439,0,135411
CA,Tuolumne,06109,10479,17372,0,27851
CA,Ventura,06111,211381,169660,0,381041
CA,Yolo,06113,61084,29758,0,90842
CA,Yuba,06115,10501,18711,0,29212
CT,Fairfield,09001,265597,168556,6273,440426
CT,Hartford,09003,259568,150084,7744,417396
CT,Litchfield,09005,49766,52285,1633,103684
CT,Middlesex,09007,54503,39156,1603,95262
CT,New Haven,09009,224025,153763,6828,384616
CT,New London,09011,77429,52861,2655,132945
CT,Tolland,09013,43691,34433,1404,79528
CT,Windham,09015,26116,27118,1168,54402
DE,Kent,10001,44169,39158,2941,86268
DE,New Castle,10003,176195,82475,11335,270005
DE,Sussex,10005,62934,76120,5279,144333
FL,Alachua,12001,78314,54458,2436,135208
FL,Baker,12003,2161,12415,221,14797
FL,Bay,12005,22988,72045,2032,97065
FL,Bradford,12007,3005,10363,249,13617
FL,Brevard,12009,140412,209204,8022,357638
FL,Broward,12011,512458,338969,11248,862675
FL,Calhoun,12013,976,5280,113,6369
FL,Charlotte,12015,38154,82377,1680,122221
FL,Citrus,12017,27975,66837,2062,96877
FL,Clay,12019,37009,86368,2399,125776
FL,Collier,12021,63988,150015,1580,215583
FL,Columbia,12023,8283,24400,536,33219
FL,DeSoto,12027,3378,8708,225,12311
FL,Dixie,12029,1169,6673,160,8002
FL,Duval,12031,223191,232168,8324,463683
FL,Escambia,12033,60111,98502,3108,161721
FL,Flagler,12035,28051,49683,1179,78913
FL,Franklin,12037,1795,4814,115,6724
FL,Gadsden,12039,13192,8221,333,21746
FL,Gilchrist,12041,1617,8740,207,10564
FL,Glades,12043,1161,3987,94,5242
FL,Gulf,12045,1757,6745,146,8648
FL,Hamilton,12047,1602,3945,113,5660
FL,Hardee,12049,1879,6016,163,8058
FL,Hendry,12051,3837,9215,204,13256
FL,Hernando,12053,36545,70178,2307,109030
FL,Highlands,12055,15688,34858,713,51259
FL,Hillsborough,12057,316262,336341,12720,665323
FL,Holmes,12059,866,8063,132,9061
FL,Indian River,12061,35299,61075,1407,97781
FL,Jackson,12063,5515,16033,415,21963
FL,Jefferson,12065,3230,5118,107,8455
FL,Lafayette,12067,454,3183,87,3724
FL,Lake,12069,83276,136284,4297,223857
FL,Lee,12071,125524,255340,4447,385311
FL,Leon,12073,88881,63554,2646,155081
FL,Levy,12075,5763,17894,454,24111
FL,Liberty,12077,539,2859,54,3452
FL,Madison,12079,2966,5984,129,9079
FL,Manatee,12081,85462,137928,3278,226668
FL,Marion,12083,72779,135179,3638,211416
FL,Martin,12085,34015,61948,1244,97207
FL,Miami-Dade,12086,477598,585445,13071,1076114
FL,Monroe,12087,18227,25069,475,43771
FL,Nassau,12089,16804,47668,845,65317
FL,Okaloosa,12091,28850,81192,2561,112603
FL,Okeechobee,12093,4002,11544,244,15790
FL,Orange,12095,330386,256770,13409,600565
FL,Osceola,12097,81586,85085,3653,170324
FL,Palm Beach,12099,368640,356386,9213,734239
FL,Pasco,12101,119344,186620,7682,313646
FL,Pinellas,12103,241729,260571,9205,511505
FL,Polk,12105,135475,201722,6114,343311
FL,Putnam,12107,9511,25621,696,35828
FL,St. Johns,12109,64516,128463,2652,195631
FL,St. Lucie,12111,84650,95644,2422,182716
FL,Santa Rosa,12113,24555,84815,2162,111532
FL,Sarasota,12115,111763,160328,3326,275417
FL,Seminole,12117,118325,127316,4886,250527
FL,Sumter,12119,31273,72344,966,104583
FL,Suwannee,12121,4073,17123,461,21657
FL,Taylor,12123,1816,7914,160,9893
FL,Union,12125,1053,4967,131,6151
FL,Volusia,12127,120503,179997,6103,306603
FL,Wakulla,12129,5265,14013,372,19650
FL,Walton,12131,9618,38828,753,49199
FL,Washington,12133,1988,10294,233,12515
HI,Hawaii,15001,54691,22747,2079,79517
HI,Honolulu,15003,209780,111603,10953,332336
HI,Kauaʻi,15007,18934,8537,1024,28495
