district_id,district_name,state_abbr,state_name,year,race,dem_pct,rep_pct,margin,dem_votes,rep_votes,vote_margin,total_votes
101,AL-01,AL,Alabama,2024,President,22,77,55,"73,358","256,976","183,618","333,911"
102,AL-02,AL,Alabama,2024,President,53.4,45.3,-8.1,"155,178","131,721","-23,457","290,626"
103,AL-03,AL,Alabama,2024,President,26.2,72.7,46.5,"82,862","230,048","147,186","316,410"
104,AL-04,AL,Alabama,2024,President,16.3,82.6,66.3,"52,911","267,661","214,750","323,861"
105,AL-05,AL,Alabama,2024,President,34.6,63.6,29,"122,382","224,861","102,479","353,600"
106,AL-06,AL,Alabama,2024,President,29.7,68.6,38.9,"104,195","240,772","136,577","350,771"
107,AL-07,AL,Alabama,2024,President,61.3,37.4,-23.9,"181,526","110,577","-70,949","295,911"
101,AL-01,AL,Alabama,2022,Senate,28.6,69,40.4,"57,871","139,817","81,946","202,614"
102,AL-02,AL,Alabama,2022,Senate,28.4,69.6,41.2,"56,541","138,866","82,325","199,431"
103,AL-03,AL,Alabama,2022,Senate,26.2,71.4,45.2,"49,988","136,020","86,032","190,599"
104,AL-04,AL,Alabama,2022,Senate,13.9,83.8,69.9,"27,177","163,905","136,728","195,679"
105,AL-05,AL,Alabama,2022,Senate,29.6,67.5,37.9,"62,936","143,576","80,640","212,812"
106,AL-06,AL,Alabama,2022,Senate,29.1,67.5,38.4,"63,753","147,965","84,212","219,308"
107,AL-07,AL,Alabama,2022,Senate,61.1,37.2,-23.9,"118,480","72,005","-46,475","193,795"
101,AL-01,AL,Alabama,2022,Governor,27.2,68.3,41.1,"55,125","138,424","83,299","202,734"
102,AL-02,AL,Alabama,2022,Governor,27,69.8,42.8,"53,829","139,279","85,450","199,605"
103,AL-03,AL,Alabama,2022,Governor,24.8,71.7,46.9,"47,380","136,907","89,527","190,822"
104,AL-04,AL,Alabama,2022,Governor,12.4,84.1,71.7,"24,316","164,718","140,402","195,947"
105,AL-05,AL,Alabama,2022,Governor,27,68.5,41.5,"57,353","145,799","88,446","212,760"
106,AL-06,AL,Alabama,2022,Governor,26.7,68,41.3,"58,523","149,079","90,556","219,160"
107,AL-07,AL,Alabama,2022,Governor,59.9,37.4,-22.5,"116,435","72,726","-43,709","194,255"
101,AL-01,AL,Alabama,2020,President,35.2,63.5,28.3,"117,098","211,330","94,232","332,698"
102,AL-02,AL,Alabama,2020,President,35.2,63.6,28.4,"108,747","196,465","87,718","308,933"
103,AL-03,AL,Alabama,2020,President,33.5,65.3,31.8,"108,484","211,505","103,021","324,043"
104,AL-04,AL,Alabama,2020,President,17.7,81.1,63.4,"56,808","260,409","203,601","320,947"
105,AL-05,AL,Alabama,2020,President,35.5,62.5,27,"129,809","228,382","98,573","365,591"
106,AL-06,AL,Alabama,2020,President,31.5,66.8,35.3,"116,895","248,114","131,219","371,323"
107,AL-07,AL,Alabama,2020,President,70.7,28.3,-42.4,"211,783","84,965","-126,818","299,747"
101,AL-01,AL,Alabama,2020,Senate,39,60.9,21.9,"129,251","201,856","72,605","331,688"
102,AL-02,AL,Alabama,2020,Senate,38.2,61.7,23.5,"117,505","190,060","72,555","307,983"
103,AL-03,AL,Alabama,2020,Senate,36.3,63.6,27.3,"117,158","205,589","88,431","323,190"
104,AL-04,AL,Alabama,2020,Senate,21.1,78.7,57.6,"67,518","251,763","184,245","319,885"
105,AL-05,AL,Alabama,2020,Senate,39.4,60.3,20.9,"143,593","219,696","76,103","364,050"
106,AL-06,AL,Alabama,2020,Senate,34.6,65.2,30.6,"128,421","241,872","113,451","371,048"
107,AL-07,AL,Alabama,2020,Senate,72.7,27.2,-45.5,"217,032","81,240","-135,792","298,601"
101,AL-01,AL,Alabama,2018,Governor,39.3,60.6,21.3,"95,512","147,473","51,961","243,294"
102,AL-02,AL,Alabama,2018,Governor,35.9,63.9,28,"81,928","145,725","63,797","228,009"
103,AL-03,AL,Alabama,2018,Governor,36.5,63.3,26.8,"84,662","146,839","62,177","231,878"
104,AL-04,AL,Alabama,2018,Governor,24.6,75.2,50.6,"57,219","175,270","118,051","232,994"
105,AL-05,AL,Alabama,2018,Governor,38.6,61.3,22.7,"100,809","160,211","59,402","261,464"
106,AL-06,AL,Alabama,2018,Governor,35.4,64.5,29.1,"99,096","180,797","81,701","280,313"
107,AL-07,AL,Alabama,2018,Governor,72.5,27.4,-45.1,"175,269","66,142","-109,127","241,637"
101,AL-01,AL,Alabama,2016,President,33.8,63,29.2,"103,343","192,616","89,273","305,900"
102,AL-02,AL,Alabama,2016,President,33,64.3,31.3,"95,307","185,825","90,518","289,220"
103,AL-03,AL,Alabama,2016,President,32,64.7,32.7,"92,999","188,210","95,211","290,731"
104,AL-04,AL,Alabama,2016,President,17.3,79.7,62.4,"50,846","234,147","183,301","293,678"
105,AL-05,AL,Alabama,2016,President,30.9,63.7,32.8,"97,157","200,562","103,405","314,740"
