NAME,DP02_0068PE,DP03_0062E,DP05_0001E,DP05_0076PE,DP05_0082PE,DP05_0083PE,DP05_0085PE,state,county,county subdivision
"Essex town, Lower Connecticut River Valley Planning Region, Connecticut",55.8,100767,6766,3.2,88.7,1.7,2.5,09,130,26270
"Haddam town, Lower Connecticut River Valley Planning Region, Connecticut",47.3,115833,8562,5.4,84.9,0.9,5.4,09,130,35230
"Killingworth town, Lower Connecticut River Valley Planning Region, Connecticut",51.7,132739,6219,2.5,87.6,0.0,0.9,09,130,40710
"Lyme town, Lower Connecticut River Valley Planning Region, Connecticut",63.3,139000,2356,1.5,92.7,0.0,0.6,09,130,44210
"Middlefield town, Lower Connecticut River Valley Planning Region, Connecticut",42.7,113750,4236,3.6,86.5,0.6,6.8,09,130,47080
"Middletown town, Lower Connecticut River Valley Planning Region, Connecticut",40.7,73979,47646,11.8,64.7,13.3,5.3,09,130,47360
"Old Lyme town, Lower Connecticut River Valley Planning Region, Connecticut",53.6,126904,7644,4.3,88.0,0.4,3.2,09,130,57040
"Old Saybrook town, Lower Connecticut River Valley Planning Region, Connecticut",56.6,119500,10515,6.8,90.5,0.4,1.1,09,130,57320
"Portland town, Lower Connecticut River Valley Planning Region, Connecticut",49.9,118955,9421,3.8,87.9,1.4,3.8,09,130,61800
"Westbrook town, Lower Connecticut River Valley Planning Region, Connecticut",45.4,76172,6832,13.7,76.5,1.1,1.7,09,130,81680
"Ansonia town, Naugatuck Valley Planning Region, Connecticut",22.7,80585,18951,25.1,50.6,16.5,3.1,09,140,01220
"Beacon Falls town, Naugatuck Valley Planning Region, Connecticut",43.4,95405,6089,8.4,79.8,6.5,0.7,09,140,03250
"Bethlehem town, Naugatuck Valley Planning Region, Connecticut",36.5,106731,3398,5.0,90.8,1.0,0.0,09,140,04930
"Bristol town, Naugatuck Valley Planning Region, Connecticut",30.5,83458,61129,18.6,64.9,6.6,4.6,09,140,08490
"Cheshire town, Naugatuck Valley Planning Region, Connecticut",62.1,150787,28852,6.8,73.4,2.7,9.6,09,140,14160
"Derby town, Naugatuck Valley Planning Region, Connecticut",33.2,76263,12359,20.9,58.9,11.3,1.9,09,140,19550
"Middlebury town, Naugatuck Valley Planning Region, Connecticut",53.4,142750,7736,4.0,82.7,0.5,7.4,09,140,46940
"Naugatuck town, Naugatuck Valley Planning Region, Connecticut",32.4,92184,31634,17.2,60.6,11.3,4.4,09,140,49950
"Oxford town, Naugatuck Valley Planning Region, Connecticut",45.8,125563,12870,11.7,77.0,0.8,5.3,09,140,58300
"Plymouth town, Naugatuck Valley Planning Region, Connecticut",27.6,99797,11715,7.5,85.6,1.1,0.8,09,140,60750
"Prospect town, Naugatuck Valley Planning Region, Connecticut",36.7,125556,9414,4.9,83.8,3.7,1.7,09,140,62290
"Seymour town, Naugatuck Valley Planning Region, Connecticut",34.7,103682,16799,18.6,67.0,7.0,2.2,09,140,67610
"Shelton town, Naugatuck Valley Planning Region, Connecticut",43.5,114739,41402,11.9,69.4,5.8,8.6,09,140,68170
"Southbury town, Naugatuck Valley Planning Region, Connecticut",51.5,112434,19973,8.8,83.4,1.9,3.2,09,140,69640
"Thomaston town, Naugatuck Valley Planning Region, Connecticut",36.0,104074,7476,8.8,79.5,2.0,2.0,09,140,75730
"Waterbury town, Naugatuck Valley Planning Region, Connecticut",17.0,51642,114356,37.5,30.5,23.7,2.5,09,140,80070
"Watertown town, Naugatuck Valley Planning Region, Connecticut",37.2,97664,22171,11.2,80.1,1.8,3.3,09,140,80490
"Wolcott town, Naugatuck Valley Planning Region, Connecticut",36.6,114406,16192,4.0,83.9,4.2,0.9,09,140,87560
"Woodbury town, Naugatuck Valley Planning Region, Connecticut",50.3,129427,9787,3.9,87.1,2.1,2.6,09,140,87910
"Ashford town, Northeastern Connecticut Planning Region, Connecticut",39.9,129219,4220,4.5,88.4,0.0,2.4,09,150,01430
"Brooklyn town, Northeastern Connecticut Planning Region, Connecticut",21.5,90575,8456,4.9,87.9,0.8,2.0,09,150,09190
"Canterbury town, Northeastern Connecticut Planning Region, Connecticut",25.9,99487,5082,3.8,88.2,3.7,0.0,09,150,12130
"Chaplin town, Northeastern Connecticut Planning Region, Connecticut",23.4,96582,2168,4.4,87.5,0.6,1.4,09,150,13810
"Eastford town, Northeastern Connecticut Planning Region, Connecticut",43.2,108500,1616,2.4,94.8,0.2,0.4,09,150,21860
"Hampton town, Northeastern Connecticut Planning Region, Connecticut",33.0,112344,1628,5.3,90.4,0.1,0.0,09,150,36000
"Killingly town, Northeastern Connecticut Planning Region, Connecticut",24.1,81881,17785,4.8,87.3,2.1,1.2,09,150,40500
"Plainfield town, Northeastern Connecticut Planning Region, Connecticut",14.4,75631,15079,5.9,84.3,3.8,2.5,09,150,59980
"Pomfret town, Northeastern Connecticut Planning Region, Connecticut",46.9,105642,4294,4.1,89.0,0.3,3.6,09,150,61030
"Putnam town, Northeastern Connecticut Planning Region, Connecticut",20.9,67416,9256,6.9,83.6,2.4,1.3,09,150,62710
"Scotland town, Northeastern Connecticut Planning Region, Connecticut",29.1,94946,1524,6.0,78.8,0.1,0.0,09,150,67400
"Sterling town, Northeastern Connecticut Planning Region, Connecticut",14.0,89167,3601,5.8,81.3,4.1,3.0,09,150,73420
"Thompson town, Northeastern Connecticut Planning Region, Connecticut",24.5,88421,9275,5.4,88.5,0.0,0.1,09,150,75870
"Union town, Northeastern Connecticut Planning Region, Connecticut",26.7,89375,991,5.2,92.0,0.0,0.4,09,150,77830
"Voluntown town, Northeastern Connecticut Planning Region, Connecticut",25.3,92438,2587,2.2,85.4,0.0,0.0,09,150,78600
"Woodstock town, Northeastern Connecticut Planning Region, Connecticut",47.1,104487,8267,4.3,93.7,0.2,0.0,09,150,88190
"Barkhamsted town, Northwest Hills Planning Region, Connecticut",52.3,119255,3652,6.9,92.0,0.0,0.6,09,160,02760
"Burlington town, Northwest Hills Planning Region, Connecticut",52.5,158357,9613,4.4,86.8,0.5,2.1,09,160,10100
"Canaan town, Northwest Hills Planning Region, Connecticut",52.2,87000,1140,4.1,91.1,1.0,1.0,09,160,10940
