code,level,state,district,pres16_total,pres16_dem,pres16_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,margin_2016,margin_2020,margin_2024
AK-01,district,AK,1,318608,116454,163387,357569,153778,189951,337780,139695,184410,-16.77130942213614,-10.523697447698623,-13.796454852594067
AL-01,district,AL,1,297479,97477,190125,324766,111504,209022,328069,103121,220876,-32.2139623507486,-30.424364950113254,-36.34447232536104
AL-02,district,AL,2,294563,127407,159319,310336,139947,166756,293174,123962,165887,-11.12978941567908,-8.741029595406632,-14.464428029767223
AL-03,district,AL,3,289677,79538,200498,322821,93356,225352,316410,82862,230048,-43.194446428316354,-41.41596696662776,-47.03780639800581
AL-04,district,AL,4,297488,51956,236405,326492,60120,262489,323861,52911,267661,-63.96461380006312,-62.72887613178801,-66.98963103452579
AL-05,district,AL,5,298086,92178,189897,346248,122869,216421,353600,122382,224861,-34.64291411858548,-27.572872763712457,-29.512185990790314
AL-06,district,AL,6,320579,88483,217406,356423,116892,233531,349473,112016,231535,-42.14698795968472,-33.285201028471306,-34.789303480414844
AL-07,district,AL,7,325952,192568,124979,336196,204936,127599,300503,175158,121748,21.28472320632851,23.256800036086428,17.988858426572722
