state,county_name,county_id,dem_2016,gop_2016,oth_2016,total_2016,districts_2016
IN,Lake,18089,142704,28308,274,171286,1
IN,Porter,18127,49520,14544,0,64064,1
IN,LaPorte,18091,23328,16347,1160,40835,1;2
IN,Miami,18103,3005,9660,602,13267,2
IN,Starke,18149,2828,5952,390,9170,2
IN,St. Joseph,18141,54491,52004,4072,110567,2
IN,Kosciusko,18085,5600,24596,1735,31931,2;3
IN,Fulton,18049,2276,5820,313,8409,2
IN,Wabash,18169,2972,9821,488,13281,2
IN,Pulaski,18131,1348,3859,202,5409,2
IN,Marshall,18099,5200,12233,651,18084,2
IN,Elkhart,18039,19819,43866,2214,65899,2
IN,Blackford,18009,1293,3131,286,4710,3;5
IN,DeKalb,18033,3080,12104,1274,16458,3
IN,Steuben,18151,2827,10585,901,14313,3
IN,Adams,18001,2262,9906,713,12881,3
IN,LaGrange,18087,1865,7022,540,9427,3
IN,Noble,18113,3137,12288,1101,16526,3
IN,Huntington,18069,2538,11913,1241,15692,3
IN,Wells,18179,2157,10102,729,12988,3
IN,Jay,18075,1818,5407,444,7669,3
IN,Whitley,18183,2401,11969,1082,15452,3
IN,Allen,18003,40043,93516,10457,144016,3
IN,Jasper,18073,3734,8783,571,13088,4
IN,Putnam,18133,3318,10499,672,14489,4
IN,Howard,18067,12187,22296,2023,36506,4;5
IN,Tippecanoe,18157,26167,32468,3493,62128,4
IN,Clinton,18023,2985,8111,556,11652,4
IN,Montgomery,18107,3960,10336,630,14926,4
IN,Morgan,18109,7226,21775,1749,30750,4;9
IN,Newton,18111,1627,3758,300,5685,4
IN,White,18181,2552,6799,543,9894,4
IN,Boone,18011,8774,21762,1367,31903,4;5
IN,Warren,18171,1013,2732,167,3912,4
IN,Hendricks,18063,19970,50677,3189,73836,4
IN,Cass,18017,3987,9398,673,14058,4
IN,Fountain,18045,1798,5275,326,7399,4
IN,Carroll,18015,2026,6113,452,8591,4
IN,Benton,18007,853,2594,205,3652,4
IN,Madison,18095,18033,32356,2486,52875,5
IN,Marion,18097,205884,140118,15267,361269,5;7
IN,Tipton,18159,1544,5476,344,7364,5
IN,Grant,18053,6679,17047,1162,24888,5
IN,Hamilton,18057,43399,102857,6412,152668,5
IN,Randolph,18135,2406,7406,394,10206,6
IN,Switzerland,18155,1082,2353,114,3549,6
IN,Hancock,18059,7823,26315,1553,35691,6
IN,Shelby,18145,3503,13626,723,17852,6
IN,Ohio,18115,727,2011,100,2838,6
IN,Jennings,18079,2658,7813,429,10900,6
IN,Henry,18065,5495,13163,1083,19741,6
IN,Union,18161,682,2446,110,3238,6
IN,Rush,18139,1376,5411,312,7099,6
IN,Jefferson,18077,4593,8115,419,13127,6
IN,Delaware,18035,17334,24560,2172,44066,6
IN,Franklin,18047,2022,8340,302,10664,6
