state,county_name,county_id,dem_2020,gop_2020,oth_2020,total_2020
DE,Kent,10001,44352,39332,1731,85415
DE,New Castle,10003,191678,82545,5816,280039
DE,Sussex,10005,56873,68435,1873,127181
IN,Adams,18001,2143,9441,2570,14154
IN,Allen,18003,53895,98406,16011,168312
IN,Bartholomew,18005,9013,21959,5065,36037
IN,Benton,18007,671,2815,614,4100
IN,Blackford,18009,933,3333,1017,5283
IN,Boone,18011,9661,23737,5094,38492
IN,Brown,18013,2381,4953,1623,8957
IN,Carroll,18015,1569,6077,1864,9510
IN,Cass,18017,3373,8833,2940,15146
IN,Clark,18019,19077,34669,3680,57426
IN,Clay,18021,1780,8164,2242,12186
IN,Clinton,18023,2406,7971,2514,12891
IN,Crawford,18025,1242,3064,553,4859
IN,Daviess,18027,1531,8313,2016,11860
IN,Dearborn,18029,4559,18353,2383,25295
IN,Decatur,18031,1562,7911,2787,12260
IN,Dekalb,18033,3293,13042,3158,19493
IN,Delaware,18035,15638,26829,5482,47949
IN,Dubois,18037,4586,14403,2599,21588
IN,Elkhart,18039,20512,46223,7690,74425
IN,Fayette,18041,1707,6933,1414,10054
IN,Floyd,18043,14948,24972,1669,41589
IN,Fountain,18045,1150,5189,1613,7952
IN,Franklin,18047,1690,8633,1499,11822
IN,Fulton,18049,1603,5436,2084,9123
IN,Gibson,18051,2990,11607,1533,16130
IN,Grant,18053,5849,16847,4325,27021
IN,Greene,18055,2511,9579,2604,14694
IN,Hamilton,18057,58714,117749,17121,193584
IN,Hancock,18059,8538,25647,8624,42809
IN,Harrison,18061,4514,14083,1602,20199
IN,Hendricks,18063,23179,50697,14246,88122
IN,Henry,18065,4128,12491,4442,21061
IN,Howard,18067,9871,24359,6317,40547
IN,Huntington,18069,2804,11759,3168,17731
IN,Jackson,18071,3234,11714,4188,19136
IN,Jasper,18073,2904,10378,2089,15371
IN,Jay,18075,1240,5227,1938,8405
IN,Jefferson,18077,3711,9076,1750,14537
IN,Jennings,18079,1930,7547,2676,12153
IN,Johnson,18081,17630,47467,12177,77274
IN,Knox,18083,2809,11210,1821,15840
IN,Kosciusko,18085,5784,23029,6845,35658
IN,Lagrange,18087,1690,7520,1365,10575
IN,Lake,18089,112352,94841,10039,217232
IN,LaPorte,18091,18133,26129,4356,48618
IN,Lawrence,18093,3616,13371,3881,20868
IN,Madison,18095,14254,29434,8118,51806
IN,Marion,18097,203475,152405,34974,390854
IN,Marshall,18099,4025,13145,2634,19804
IN,Martin,18101,709,3232,1177,5118
IN,Miami,18103,2439,9208,2714,14361
IN,Monroe,18105,33033,24605,4885,62523
IN,Montgomery,18107,2812,10587,3785,17184
IN,Morgan,18109,5602,22161,8184,35947
IN,Newton,18111,1148,4358,1050,6556
IN,Noble,18113,3237,12498,3353,19088
IN,Ohio,18115,641,2210,335,3186
IN,Orange,18117,1952,5591,1216,8759
IN,Owen,18119,1852,5857,2137,9846
IN,Parke,18121,1127,4766,1079,6972
IN,Perry,18123,2518,5523,607,8648
IN,Pike,18125,1092,4199,850,6141
IN,Porter,18127,33397,45996,7131,86524
IN,Posey,18129,2773,9648,809,13230
IN,Pulaski,18131,1019,3874,875,5768
IN,Putnam,18133,2876,9375,4269,16520
IN,Randolph,18135,1863,7399,1732,10994
IN,Ripley,18137,2231,9518,2458,14207
IN,Rush,18139,1215,4949,1716,7880
IN,Scott,18143,2297,6065,1613,9975
IN,Shelby,18145,3499,12269,4099,19867
IN,Spencer,18147,2461,7272,926,10659
IN,St. Joseph,18141,48610,60696,5387,114693
IN,Starke,18149,2026,6730,1427,10183
IN,Steuben,18151,2939,11407,1739,16085
IN,Sullivan,18153,1550,6009,1357,8916
IN,Switzerland,18155,822,2846,412,4080
IN,Tippecanoe,18157,26179,37979,7057,71215
IN,Tipton,18159,1200,5169,1707,8076
IN,Union,18161,603,2533,323,3459
IN,Vanderburgh,18163,27242,46490,3658,77390
IN,Vermillion,18165,1531,4938,917,7386
IN,Vigo,18167,13999,25917,3419,43335
IN,Wabash,18169,2421,9111,2979,14511
IN,Warren,18171,672,3009,777,4458
IN,Warrick,18173,9074,22703,1747,33524
IN,Washington,18175,2408,7919,1746,12073
IN,Wayne,18177,7534,16914,3172,27620
IN,Wells,18179,1967,9371,2712,14050
IN,White,18181,1978,7334,1826,11138
IN,Whitley,18183,2738,11522,3191,17451
MT,Beaverhead,30001,1668,3779,209,5656
MT,Big Horn,30003,2513,2078,203,4794
MT,Blaine,30005,1619,1365,133,3117
MT,Broadwater,30007,928,3032,139,4099
MT,Carbon,30009,2498,4303,275,7076
MT,Carter,30011,91,748,18,857
MT,Cascade,30013,15922,22221,1690,39833
MT,Chouteau,30015,1048,1816,108,2972
MT,Custer,30017,1619,3971,280,5870
MT,Daniels,30019,217,768,24,1009
MT,Dawson,30021,1124,3524,178,4826
MT,Deer Lodge,30023,2747,1881,245,4873
MT,Fallon,30025,218,1288,49,1555
MT,Fergus,30027,1567,4737,195,6499
MT,Flathead,30029,20387,37213,2225,59825
MT,Gallatin,30031,36788,31368,2802,70958
MT,Garfield,30033,48,751,14,813
MT,Glacier,30035,3730,1709,245,5684
MT,Golden Valley,30037,80,409,14,503
MT,Granite,30039,659,1348,87,2094
MT,Hill,30041,3146,3642,394,7182
MT,Jefferson,30043,2791,5097,283,8171
MT,Judith Basin,30045,281,1017,48,1346
MT,Lake,30047,6885,8913,794,16592
MT,Lewis and Clark,30049,21022,19969,1449,42440
MT,Liberty,30051,268,788,27,1083
MT,Lincoln,30053,3001,8279,426,11706
MT,Madison,30057,1877,3992,219,6088
MT,McCone,30055,165,921,31,1117
MT,Meagher,30059,256,823,33,1112
MT,Mineral,30061,706,1715,131,2552
MT,Missoula,30063,43426,25448,2711,71585
MT,Musselshell,30065,450,2318,102,2870
MT,Park,30067,5364,5798,418,11580
MT,Petroleum,30069,44,299,7,350
MT,Phillips,30071,412,1908,53,2373
MT,Pondera,30073,912,1981,104,2997
MT,Powder River,30075,162,943,24,1129
MT,Powell,30077,849,2212,126,3187
MT,Prairie,30079,160,544,26,730
MT,Ravalli,30081,8883,18557,1063,28503
MT,Richland,30083,1017,4506,231,5754
MT,Roosevelt,30085,1961,1859,187,4007
MT,Rosebud,30087,1236,2363,148,3747
MT,Sanders,30089,1870,5346,370,7586
MT,Sheridan,30091,634,1300,82,2016
MT,Silver Bow,30093,11495,6490,788,18773
MT,Stillwater,30095,1263,4292,171,5726
MT,Sweet Grass,30097,553,1801,94,2448
MT,Teton,30099,1053,2497,135,3685
MT,Toole,30101,468,1546,104,2118
MT,Treasure,30103,89,358,13,460
