state,county_name,county_id,dem_2024,gop_2024,oth_2024,total_2024
DE,Kent,10001,43179,42750,0,85929
DE,New Castle,10003,172412,95746,0,268158
DE,Sussex,10005,63994,80554,0,144548
IN,Adams,18001,3399,9495,749,13643
IN,Allen,18003,67803,84139,6153,158095
IN,Bartholomew,18005,12549,20406,1922,34877
IN,Benton,18007,1036,2654,264,3954
IN,Blackford,18009,1358,3019,535,4912
IN,Boone,18011,16170,20832,2106,39108
IN,Brown,18013,2936,4917,1003,8856
IN,Carroll,18015,2373,6176,654,9203
IN,Cass,18017,4253,8976,921,14150
IN,Clark,18019,23830,31970,1926,57726
IN,Clay,18021,2679,8261,698,11638
IN,Clinton,18023,3585,7489,875,11949
IN,Crawford,18025,1493,3235,204,4932
IN,Daviess,18027,2343,7691,944,10978
IN,Dearborn,18029,5431,20222,809,26462
IN,Decatur,18031,2563,8243,829,11635
IN,DeKalb,18033,5277,13100,1159,19536
IN,Delaware,18035,20177,22026,1968,44171
IN,Dubois,18037,6905,11950,1723,20578
IN,Elkhart,18039,23559,43571,2648,69778
IN,Fayette,18041,2201,6714,468,9383
IN,Floyd,18043,17420,22642,968,41030
IN,Fountain,18045,1704,5664,570,7938
IN,Franklin,18047,2157,8763,404,11324
IN,Fulton,18049,2358,5673,798,8829
IN,Gibson,18051,3985,11073,607,15665
IN,Grant,18053,7395,15694,1604,24693
IN,Greene,18055,3589,9530,933,14052
IN,Hamilton,18057,89605,100223,6031,195859
IN,Hancock,18059,14775,26136,3127,44038
IN,Harrison,18061,5780,13785,632,20287
IN,Hendricks,18063,31290,45136,4103,80529
IN,Henry,18065,6331,13004,1269,20604
IN,Howard,18067,13173,23030,2390,38593
IN,Huntington,18069,4624,11348,1177,17149
IN,Jackson,18071,4788,12760,1020,18568
IN,Jasper,18073,3724,10484,708,14916
IN,Jay,18075,1943,5262,553,7758
IN,Jefferson,18077,4799,8444,495,13738
IN,Jennings,18079,2810,8069,788,11667
IN,Johnson,18081,25361,47249,4341,76951
IN,Knox,18083,3813,9880,658,14351
IN,Kosciusko,18085,8024,23059,2544,33627
IN,LaGrange,18087,2304,7143,510,9957
IN,Lake,18089,107417,88280,4129,199826
IN,LaPorte,18091,19850,23534,1785,45169
IN,Lawrence,18093,5234,13626,1509,20369
IN,Madison,18095,21266,31023,3234,55523
IN,Marion,18097,222440,118511,12311,353262
IN,Marshall,18099,5543,12298,1120,18961
IN,Martin,18101,1305,2787,799,4891
IN,Miami,18103,3647,8834,965,13446
IN,Monroe,18105,36675,19961,1945,58581
IN,Montgomery,18107,4441,10742,1348,16531
IN,Morgan,18109,8159,22915,3033,34107
IN,Newton,18111,1607,4625,308,6540
IN,Noble,18113,4665,12365,1227,18257
IN,Ohio,18115,720,2215,89,3024
IN,Orange,18117,2289,5504,478,8271
IN,Owen,18119,2397,6191,956,9544
IN,Parke,18121,1478,4503,361,6342
IN,Perry,18123,3085,4870,253,8208
IN,Pike,18125,1402,4009,305,5716
IN,Porter,18127,38764,44035,2397,85196
IN,Posey,18129,3667,8875,382,12924
IN,Pulaski,18131,1408,3622,480,5510
IN,Putnam,18133,4138,10675,1373,16186
IN,Randolph,18135,2667,6821,573,10061
IN,Ripley,18137,2927,10741,649,14317
IN,Rush,18139,1912,4933,533,7378
IN,Scott,18143,3928,5627,345,9900
IN,Shelby,18145,5236,12160,1527,18923
IN,Spencer,18147,2979,6691,380,10050
IN,St. Joseph,18141,54911,52056,3376,110343
IN,Starke,18149,2557,6426,834,9817
IN,Steuben,18151,4583,10382,714,15679
IN,Sullivan,18153,2284,5657,496,8437
