state,county_name,county_id,dem_2016,gop_2016,oth_2016,total_2016
DE,Kent,10001,35955,34777,1646,72378
DE,New Castle,10003,165973,77839,6879,250691
DE,Sussex,10005,46476,54236,2031,102743
IN,Adams,18001,4272,8408,371,13051
IN,Allen,18003,61879,80458,4482,146819
IN,Bartholomew,18005,11869,19063,1122,32054
IN,Benton,18007,1201,2318,150,3669
IN,Blackford,18009,1857,2719,213,4789
IN,Boone,18011,11868,19269,1009,32146
IN,Brown,18013,3201,4488,272,7961
IN,Carroll,18015,2923,5381,353,8657
IN,Cass,18017,5662,8059,511,14232
IN,Clark,18019,20293,28440,1597,50330
IN,Clay,18021,4260,6457,339,11056
IN,Clinton,18023,4120,7126,423,11669
IN,Crawford,18025,1924,2381,156,4461
IN,Daviess,18027,4049,6460,217,10726
IN,Dearborn,18029,5936,16606,670,23212
IN,Decatur,18031,3291,7231,310,10832
IN,DeKalb,18033,5340,10501,718,16559
IN,Delaware,18035,22195,20777,1653,44625
IN,Dubois,18037,8171,10821,962,19954
IN,Elkhart,18039,23749,40161,1935,65845
IN,Fayette,18041,3369,5485,441,9295
IN,Floyd,18043,15176,20783,1042,37001
IN,Fountain,18045,2404,4792,277,7473
IN,Franklin,18047,2697,7795,254,10746
IN,Fulton,18049,2977,5142,291,8410
IN,Gibson,18051,5969,9203,344,15516
IN,Grant,18053,9257,14928,876,25061
IN,Greene,18055,6610,6834,310,13754
IN,Hamilton,18057,60176,90381,4148,154705
IN,Hancock,18059,12350,22681,1271,36302
IN,Harrison,18061,6303,11690,418,18411
IN,Hendricks,18063,27180,45207,2228,74615
IN,Henry,18065,7551,10769,1786,20106
IN,Howard,18067,15812,19903,1290,37005
IN,Huntington,18069,4941,10092,679,15712
IN,Jackson,18071,5613,11320,466,17399
IN,Jasper,18073,4730,8086,378,13194
IN,Jay,18075,2935,4603,276,7814
IN,Jefferson,18077,5373,7505,344,13222
IN,Jennings,18079,3609,7089,341,11039
IN,Johnson,18081,22263,42465,1994,66722
IN,Knox,18083,8597,6511,292,15400
IN,Kosciusko,18085,8454,22296,1267,32017
IN,LaGrange,18087,2951,6316,345,9612
IN,Lake,18089,127491,64997,4640,197128
IN,LaPorte,18091,24139,18465,1668,44272
IN,Lawrence,18093,6402,11683,576,18661
IN,Madison,18095,24041,27579,2063,53683
IN,Marion,18097,226116,127462,10718,364296
IN,Marshall,18099,6772,10481,577,17830
IN,Martin,18101,1823,2829,120,4772
IN,Miami,18103,4596,8094,549,13239
IN,Monroe,18105,36304,19915,1919,58138
IN,Montgomery,18107,5201,9412,551,15164
IN,Morgan,18109,9356,20430,1128,30914
IN,Newton,18111,2066,3484,205,5755
IN,Noble,18113,5512,10475,637,16624
IN,Ohio,18115,996,1805,60,2861
IN,Orange,18117,2971,4827,229,8027
IN,Owen,18119,3073,5085,334,8492
IN,Parke,18121,2608,3824,207,6639
IN,Perry,18123,4222,3520,193,7935
IN,Pike,18125,2671,3114,130,5915
IN,Porter,18127,41563,32913,2392,76868
IN,Posey,18129,5028,7202,250,12480
IN,Pulaski,18131,2069,3001,185,5255
IN,Putnam,18133,5049,9094,490,14633
IN,Randolph,18135,3621,6094,482,10197
IN,Ripley,18137,3540,8948,291,12779
IN,Rush,18139,2440,4393,306,7139
IN,Scott,18143,3830,4869,245,8944
IN,Shelby,18145,6162,10998,691,17851
IN,Spencer,18147,4030,5511,233,9774
IN,St. Joseph,18141,57835,48839,3421,110095
IN,Starke,18149,3903,4694,368,8965
IN,Steuben,18151,4917,9180,507,14604
IN,Sullivan,18153,4720,3623,176,8519
IN,Switzerland,18155,1379,2116,100,3595
IN,Tippecanoe,18157,30234,30141,2302,62677
IN,Tipton,18159,2492,4712,259,7463
IN,Union,18161,936,2179,147,3262
IN,Vanderburgh,18163,32370,38188,1903,72461
IN,Vermillion,18165,3339,3279,257,6875
IN,Vigo,18167,21841,16772,1096,39709
IN,Wabash,18169,4262,8636,416,13314
IN,Warren,18171,1260,2538,126,3924
IN,Warrick,18173,11434,17418,627,29479
IN,Washington,18175,3593,7293,341,11227
IN,Wayne,18177,9518,13472,2704,25694
IN,Wells,18179,3902,8766,428,13096
IN,White,18181,3586,6074,385,10045
IN,Whitley,18183,4933,9972,616,15521
OR,Baker,41001,2047,6069,575,8691
OR,Benton,41003,28043,16543,2722,47308
OR,Clackamas,41005,96735,100882,11030,208647
OR,Clatsop,41007,9667,8425,1106,19198
OR,Columbia,41009,11020,12925,2048,25993
OR,Coos,41011,11500,16889,2330,30719
OR,Crook,41013,2990,8232,818,12040
OR,Curry,41015,4947,6410,894,12251
OR,Deschutes,41017,42298,47824,5858,95980
OR,Douglas,41019,15878,32647,4118,52643
OR,Gilliam,41021,277,694,56,1027
OR,Grant,41023,904,3093,274,4271
