chamber,district,round,dem_votes,rep_votes,oth_votes,total_votes
House,1,primary,0,9318,0,9318
House,2,primary,5172,0,0,5172
House,4,primary,6983,0,0,6983
House,4,runoff,7381,0,0,7381
House,6,primary,2968,7174,395,10537
House,7,primary,0,12285,0,12285
House,9,primary,0,7311,0,7311
House,15,primary,0,9797,0,9797
House,18,primary,2791,11956,0,14747
House,18,runoff,0,11966,0,11966
House,19,primary,0,8622,2442,11064
House,20,primary,0,13520,0,13520
House,21,primary,10811,0,0,10811
House,21,runoff,9140,0,0,9140
House,23,primary,6749,0,0,6749
House,23,runoff,4320,0,0,4320
House,24,primary,0,9425,0,9425
House,25,primary,0,12078,0,12078
House,26,primary,6868,0,0,6868
House,28,primary,1929,8480,0,10409
House,30,primary,0,5545,967,6512
House,31,primary,0,10517,0,10517
House,34,primary,7391,0,0,7391
House,39,primary,2543,6441,0,8984
House,40,primary,10887,0,0,10887
House,42,primary,0,10672,0,10672
House,43,primary,1770,9342,0,11112
House,44,primary,7939,0,0,7939
House,45,primary,2859,7856,497,11212
House,48,primary,1877,10681,0,12558
House,49,primary,0,11621,0,11621
House,50,primary,2808,7206,0,10014
House,53,primary,0,7011,0,7011
House,53,runoff,0,6143,0,6143
House,57,primary,6792,1530,1573,9895
House,57,runoff,4488,0,2398,6886
House,62,primary,10837,0,0,10837
House,63,primary,7206,2481,0,9687
House,63,runoff,6176,0,0,6176
House,64,primary,0,12186,0,12186
House,64,runoff,0,7360,0,7360
House,65,primary,0,10736,0,10736
House,65,runoff,0,7409,0,7409
House,66,primary,0,11707,0,11707
House,66,runoff,0,8086,0,8086
House,68,primary,3989,7099,261,11349
House,68,runoff,3625,4736,0,8361
House,70,primary,2775,7441,0,10216
House,70,runoff,2421,4485,0,6906
House,71,primary,0,9224,0,9224
House,72,primary,10049,0,0,10049
House,73,primary,0,11592,0,11592
House,74,primary,0,12541,0,12541
House,74,runoff,0,8297,0,8297
House,75,primary,3211,8994,0,12205
House,75,runoff,3491,8233,0,11724
House,76,primary,0,8405,0,8405
House,81,primary,0,11845,0,11845
House,83,primary,4959,2064,0,7023
House,85,primary,2080,4061,409,6550
House,87,primary,6141,0,0,6141
House,88,primary,0,9300,0,9300
House,89,primary,0,12699,0,12699
House,89,runoff,0,9134,0,9134
House,90,primary,0,8234,772,9006
House,90,runoff,0,6035,0,6035
House,91,primary,8152,0,0,8152
House,92,primary,0,6435,0,6435
House,94,primary,0,10465,0,10465
House,95,primary,0,9744,0,9744
House,103,primary,2192,7916,0,10108
House,103,runoff,0,9468,0,9468
House,104,primary,0,9728,0,9728
House,105,primary,5067,4054,0,9121
House,105,runoff,2561,3232,0,5793
Senate,1,primary,0,24122,0,24122
Senate,2,primary,21018,9865,0,30883
Senate,6,primary,0,29654,0,29654
Senate,8,primary,0,23424,0,23424
Senate,9,primary,8201,19046,0,27247
Senate,12,primary,6680,24003,0,30683
Senate,13,primary,0,27619,0,27619
Senate,19,primary,8791,19416,0,28207
Senate,20,primary,0,24378,0,24378
Senate,21,primary,0,24698,0,24698
Senate,21,runoff,0,16719,0,16719
Senate,22,primary,5495,26167,299,31961
Senate,25,primary,5250,21937,0,27187
Senate,31,primary,0,31337,0,31337
Senate,33,primary,0,29108,0,29108
Senate,34,primary,15872,6451,0,22323
Senate,36,primary,0,22721,0,22721
Senate,37,primary,0,20628,3197,23825
Senate,38,primary,0,26892,0,26892
Senate,39,primary,14312,5034,0,19346
Senate,39,runoff,18085,0,0,18085
