state_name,year,type,dem_votes,rep_votes,oth_votes,total_votes,dem_seats_won,rep_seats_won,oth_seats_won,seats_up,total_seats,contests,uncontested,vote_missing_contests
Tennessee,2018,House,825295,1255205,16299,2096799,26.0,73.0,0.0,99,99,99,26,0
Tennessee,2018,Senate,459033,671278,8197,1138508,4.0,14.0,0.0,18,33,18,6,0
Tennessee,2020,House,800069,1740193,63028,2603290,26.0,73.0,0.0,99,99,99,61,0
Tennessee,2020,Senate,321494,939727,52928,1314149,2.0,14.0,0.0,16,33,16,7,0
Tennessee,2022,House,410589,1077324,38889,1526802,24.0,75.0,0.0,99,99,99,63,0
Tennessee,2022,Senate,207704,547146,19316,774166,4.0,13.0,0.0,17,33,17,9,0
Texas,2016,House,2746667,4711481,173294,7631442,55.0,95.0,0.0,150,150,150,98,0
Texas,2016,Senate,1355412,1985241,175842,3516495,8.0,8.0,0.0,16,31,16,12,0
Texas,2018,House,3606965,4059519,49134,7715618,67.0,83.0,0.0,150,150,150,56,0
Texas,2018,Senate,2026761,2280884,24869,4332514,5.0,10.0,0.0,15,31,15,2,0
Texas,2020,House,4520636,5706165,103703,10330504,67.0,83.0,0.0,150,150,150,56,0
Texas,2020,Senate,2247642,2696684,76170,5020496,8.0,8.0,0.0,16,31,16,3,0
Texas,2022,House,2308570,2612097,113994,5034661,64.0,86.0,0.0,150,150,150,70,58
Texas,2022,Senate,2296616,2955661,199826,5452103,12.0,19.0,0.0,31,31,31,13,10
Utah,2016,House,299044,722454,11693,1033191,12.0,63.0,0.0,75,75,75,28,0
Utah,2016,Senate,123078,404023,12866,539967,1.0,14.0,0.0,15,29,15,5,0
Utah,2018,House,339812,622992,47303,1010107,16.0,59.0,0.0,75,75,75,17,0
Utah,2018,Senate,204254,306354,20897,531505,5.0,10.0,0.0,15,29,15,3,0
Utah,2020,House,418842,918220,46529,1383591,17.0,58.0,0.0,75,75,75,23,0
Utah,2020,Senate,136448,546124,15792,698364,2.0,13.0,0.0,15,29,15,8,0
Utah,2022,House,250516,680430,43525,974471,14.0,61.0,0.0,75,75,75,37,0
Utah,2022,Senate,151178,338584,21072,510834,4.0,11.0,0.0,15,29,15,8,0
Vermont,2016,House,223009,155502,29018,407529,90.0,53.0,7.0,150,150,104,57,0
Vermont,2016,Senate,483282,162701,18284,664267,23.0,7.0,0.0,30,30,13,5,0
Vermont,2018,House,227466,106709,24022,358197,102.0,43.0,5.0,150,150,104,58,0
Vermont,2020,House,282616,167095,29207,478918,99.0,46.0,5.0,150,150,104,49,0
Vermont,2020,Senate,532151,311445,49813,893409,23.0,7.0,0.0,30,30,13,3,0
Vermont,2022,House,238536,115456,13726,367718,109.0,38.0,3.0,150,150,109,54,0
Vermont,2022,Senate,359178,166419,10040,535637,23.0,7.0,0.0,30,30,16,4,0
Virginia,2015,House,451865,798868,29592,1280325,34.0,66.0,0.0,100,100,100,71,0
Virginia,2015,Senate,596198,716331,22202,1334731,19.0,21.0,0.0,40,40,40,20,0
Virginia,2017,House,1304241,1076081,34813,2415135,49.0,51.0,0.0,100,100,100,40,0
Virginia,2019,House,1204406,1004267,32482,2241155,55.0,45.0,0.0,100,100,100,35,0
Virginia,2019,Senate,1227615,900254,112984,2240853,21.0,19.0,0.0,40,40,40,19,0
Virginia,2021,House,1535866,1666118,8435,3210419,48.0,52.0,0.0,100,100,100,9,0
Washington,2016,House,2932484,2474126,375077,5781687,50.0,48.0,0.0,98,98,98,45,0
Washington,2016,Senate,683212,711606,154383,1549201,13.0,13.0,0.0,26,49,26,15,0
Washington,2018,House,3447724,2214282,155351,5817357,57.0,41.0,0.0,98,98,98,24,0
Washington,2018,Senate,982741,516476,23245,1522462,17.0,8.0,0.0,25,49,25,7,0
Washington,2020,House,4142482,3179128,182721,7504331,57.0,41.0,0.0,98,98,98,26,0
Washington,2020,Senate,987057,975687,27578,1990322,13.0,13.0,0.0,26,49,26,6,0
Washington,2022,House,2937173,2581809,70175,5589157,58.0,40.0,0.0,98,98,98,37,0
Washington,2022,Senate,793534,548951,44013,1386498,18.0,7.0,0.0,25,49,25,10,0
West Virginia,2016,House,542921,630498,16169,1189588,37.0,63.0,0.0,100,100,67,5,0
West Virginia,2016,Senate,345607,379433,3521,728561,6.0,12.0,0.0,18,34,18,0,0
West Virginia,2018,House,499867,520509,25543,1045919,41.0,59.0,0.0,100,100,67,7,0
West Virginia,2018,Senate,252564,306182,14567,573313,8.0,9.0,0.0,17,34,17,1,0
West Virginia,2020,House,521121,757431,8781,1287333,24.0,76.0,0.0,100,100,67,12,0
West Virginia,2020,Senate,270253,461931,13727,745911,3.0,14.0,0.0,17,34,17,3,0
West Virginia,2022,House,138761,316621,5131,460513,12.0,88.0,0.0,100,100,100,25,0
West Virginia,2022,Senate,131325,307231,18871,457427,1.0,16.0,0.0,17,34,17,5,0
Wisconsin,2016,House,1175779,1337291,55090,2568160,35.0,64.0,0.0,99,99,99,49,0
Wisconsin,2016,Senate,639545,618589,0,1258134,7.0,9.0,0.0,16,33,16,8,0
Wisconsin,2018,House,1306878,1103505,35199,2445582,36.0,63.0,0.0,99,99,99,38,0
Wisconsin,2018,Senate,604218,675015,0,1279233,6.0,11.0,0.0,17,33,17,4,0
Wisconsin,2020,House,1402100,1665487,12887,3080474,38.0,61.0,0.0,99,99,99,20,0
Wisconsin,2020,Senate,738391,729128,0,1467519,6.0,10.0,0.0,16,33,16,5,0
Wisconsin,2022,House,1121467,1343509,43477,2508453,35.0,64.0,0.0,99,99,99,26,0
Wisconsin,2022,Senate,474663,772131,0,1246794,5.0,12.0,0.0,17,33,17,5,0
Wyoming,2016,House,68510,163470,3857,235837,9.0,51.0,0.0,60,60,60,15,0
Wyoming,2016,Senate,26440,85881,8570,120891,1.0,14.0,0.0,15,30,15,5,0
Wyoming,2018,House,37172,136565,7523,181260,9.0,50.0,1.0,60,60,60,38,0
Wyoming,2018,Senate,21855,65854,889,88598,2.0,13.0,0.0,15,30,15,9,0
Wyoming,2020,House,39962,191247,11129,242338,7.0,51.0,2.0,60,60,60,44,0
Wyoming,2020,Senate,14559,107618,1762,123939,0.0,15.0,0.0,15,30,15,10,0
Wyoming,2022,House,22939,138719,13502,175160,5.0,57.0,0.0,62,62,62,43,0
Wyoming,2022,Senate,15477,67444,2473,85394,2.0,14.0,0.0,16,31,16,10,0
