state,county_name,county_id,dem_2025,gop_2025,oth_2025,total_2025
NJ,Atlantic,34001,51201,47603,652,99456
NJ,Bergen,34003,190461,152682,1518,344661
NJ,Burlington,34005,116774,75342,986,193102
NJ,Camden,34007,130752,60129,1179,192060
NJ,Cape May,34009,18270,25588,214,44072
NJ,Cumberland,34011,21348,19272,290,40910
NJ,Essex,34013,188681,55503,1118,245302
NJ,Gloucester,34015,67066,61265,935,129266
NJ,Hudson,34017,127181,41021,2122,170324
NJ,Hunterdon,34019,31663,34683,401,66747
NJ,Mercer,34021,91713,36156,741,128610
NJ,Middlesex,34023,174038,101830,1992,277860
NJ,Monmouth,34025,131484,154166,1503,287153
NJ,Morris,34027,116488,111422,1006,228916
NJ,Ocean,34029,90323,185957,1160,277440
NJ,Passaic,34031,86053,61966,1081,149100
NJ,Salem,34033,9782,13281,192,23255
NJ,Somerset,34035,83355,56095,1037,140487
NJ,Sussex,34037,26308,38118,429,64855
NJ,Union,34039,124470,59646,1162,185278
NJ,Warren,34041,19199,25980,326,45505
VA,Accomack,51001,5925,7129,10,13064
VA,Albemarle,51003,39322,16480,93,55895
VA,Alexandria,51510,52230,10424,190,62844
VA,Alleghany,51005,1779,4011,11,5801
VA,Amelia,51007,1831,4521,8,6360
VA,Amherst,51009,4294,8811,20,13125
VA,Appomattox,51011,1765,5609,12,7386
VA,Arlington,51013,83657,15929,235,99821
VA,Augusta,51015,9522,24612,60,34194
VA,Bath,51017,493,1421,5,1919
VA,Bedford,51019,10048,29166,57,39271
VA,Bland,51021,441,1974,3,2418
VA,Botetourt,51023,4969,11820,32,16821
VA,Bristol,51520,1660,3090,7,4757
VA,Brunswick,51025,3338,2591,5,5934
VA,Buchanan,51027,971,4434,8,5413
VA,Buckingham,51029,2456,3586,13,6055
VA,Buena Vista,51530,696,1392,9,2097
VA,Campbell,51031,6130,16878,34,23042
VA,Caroline,51033,6733,6680,23,13436
VA,Carroll,51035,2433,8889,26,11348
VA,Charles City,51036,2002,1485,5,3492
VA,Charlotte,51037,1545,3159,6,4710
VA,Charlottesville,51540,16799,2056,35,18890
VA,Chesapeake,51550,53971,42147,164,96282
VA,Chesterfield,51041,100595,70021,294,170910
VA,Clarke,51043,3389,4222,18,7629
VA,Colonial Heights,51570,2474,4092,21,6587
VA,Covington,51580,678,999,0,1677
VA,Craig,51045,467,1806,6,2279
VA,Culpeper,51047,9214,12592,33,21839
VA,Cumberland,51049,1803,2609,8,4420
VA,Danville,51590,7678,4592,29,12299
VA,Dickenson,51051,1028,3427,7,4462
VA,Dinwiddie,51053,5031,7028,19,12078
VA,Emporia,51595,1119,544,3,1666
VA,Essex,51057,2289,2572,8,4869
VA,Fairfax City,51600,7552,2847,36,10435
VA,Fairfax County,51059,329977,116053,1222,447252
VA,Falls Church,51610,6407,1181,12,7600
VA,Fauquier,51061,14610,19894,62,34566
VA,Floyd,51063,2603,4806,16,7425
VA,Fluvanna,51065,6712,6718,19,13449
VA,Franklin City,51620,1849,1084,2,2935
VA,Franklin County,51067,6836,16317,36,23189
VA,Frederick,51069,15809,23130,51,38990
VA,Fredericksburg,51630,7561,2943,33,10537
VA,Galax,51640,597,1284,1,1882
VA,Giles,51071,1782,4983,16,6781
VA,Gloucester,51073,5912,11399,30,17341
VA,Goochland,51075,7339,9726,24,17089
VA,Grayson,51077,1264,4614,11,5889
VA,Greene,51079,4036,5458,16,9510
VA,Greensville,51081,1902,1427,8,3337
VA,Halifax,51083,5272,8027,22,13321
VA,Hampton,51650,35129,12103,91,47323
VA,Hanover,51085,23994,36278,95,60367
VA,Harrisonburg,51660,9512,3654,23,13189
VA,Henrico,51087,103559,45627,260,149446
VA,Henry,51089,6320,11150,30,17500
VA,Highland,51091,362,831,1,1194
VA,Hopewell,51670,4052,2610,13,6675
VA,Isle of Wight,51093,8227,10931,37,19195
VA,James City,51095,23603,19029,63,42695
