chamber,district,dem_votes,rep_votes,oth_votes,total_votes
Senate,29,60984,13242,6212,80438
Senate,30,80476,0,10474,90950
Senate,31,61088,0,9682,70770
Senate,32,45549,10749,1358,57656
Senate,33,47793,15868,5471,69132
Senate,34,58327,25395,2721,86443
Senate,35,77106,41541,4203,122850
Senate,36,77594,0,7219,84813
Senate,37,87008,52077,8139,147224
Senate,38,59750,63428,9108,132286
Senate,39,67756,67312,14109,149177
Senate,40,84088,69751,11462,165301
Senate,41,88604,62725,22931,174260
Senate,42,68764,54614,11427,134805
Senate,43,67824,69824,12015,149663
Senate,44,62254,81103,16457,159814
Senate,45,0,90514,16615,107129
Senate,46,73599,55273,17858,146730
Senate,47,103859,21537,9132,134528
Senate,48,71227,55980,7699,134906
Senate,49,0,94382,14336,108718
Senate,50,75307,70277,16366,161950
Senate,51,55620,81783,16457,153860
Senate,52,69643,56361,11740,137744
Senate,53,38285,89023,14428,141736
Senate,54,56888,88996,14492,160376
Senate,55,89485,52531,16749,158765
Senate,56,70091,45830,13781,129702
Senate,57,0,98432,17522,115954
Senate,58,0,99489,16170,115659
Senate,59,84379,0,16836,101215
Senate,60,0,109393,28923,138316
Senate,61,80274,46343,16629,143246
Senate,62,0,93822,20638,114460
Senate,63,64386,30043,11101,105530
