precinct	office	party_detailed	party_simplified	mode	votes	county_name	county_fips	jurisdiction_name	jurisdiction_fips	candidate	district	dataverse	year	stage	state	special	writein	state_po	state_fips	state_cen	state_ic	date	readme_check	magnitude
"BELMONT"	"GOVERNOR"	"DEMOCRAT"	"DEMOCRAT"	"TOTAL"	821	"BELKNAP"	33001	"BELMONT"	3300104740	"TOM SHERMAN"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"CENTER HARBOR"	"GOVERNOR"	"DEMOCRAT"	"DEMOCRAT"	"TOTAL"	244	"BELKNAP"	33001	"CENTER HARBOR"	3300110660	"TOM SHERMAN"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"GILFORD"	"GOVERNOR"	"DEMOCRAT"	"DEMOCRAT"	"TOTAL"	1286	"BELKNAP"	33001	"GILFORD"	3300128740	"TOM SHERMAN"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"GILMANTON"	"GOVERNOR"	"DEMOCRAT"	"DEMOCRAT"	"TOTAL"	624	"BELKNAP"	33001	"GILMANTON"	3300128980	"TOM SHERMAN"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 1"	"GOVERNOR"	"DEMOCRAT"	"DEMOCRAT"	"TOTAL"	473	"BELKNAP"	33001	"LACONIA"	3300140180	"TOM SHERMAN"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 2"	"GOVERNOR"	"DEMOCRAT"	"DEMOCRAT"	"TOTAL"	341	"BELKNAP"	33001	"LACONIA"	3300140180	"TOM SHERMAN"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 3"	"GOVERNOR"	"DEMOCRAT"	"DEMOCRAT"	"TOTAL"	467	"BELKNAP"	33001	"LACONIA"	3300140180	"TOM SHERMAN"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 4"	"GOVERNOR"	"DEMOCRAT"	"DEMOCRAT"	"TOTAL"	298	"BELKNAP"	33001	"LACONIA"	3300140180	"TOM SHERMAN"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 5"	"GOVERNOR"	"DEMOCRAT"	"DEMOCRAT"	"TOTAL"	270	"BELKNAP"	33001	"LACONIA"	3300140180	"TOM SHERMAN"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 6"	"GOVERNOR"	"DEMOCRAT"	"DEMOCRAT"	"TOTAL"	382	"BELKNAP"	33001	"LACONIA"	3300140180	"TOM SHERMAN"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
